symbol,datetime_utc,funding_rate,mark_price,open_interest,open_interest_value
XRPUSDT,2020-01-06 08:00:00,0.0001,,,
XRPUSDT,2020-01-06 16:00:00,0.00487889,,,
XRPUSDT,2020-01-07 00:00:00,0.00180851,,,
XRPUSDT,2020-01-07 08:00:00,0.00075005,,,
XRPUSDT,2020-01-07 16:00:00,0.00022266,,,
XRPUSDT,2020-01-08 00:00:00,0.0001,,,
XRPUSDT,2020-01-08 08:00:00,0.00139017,,,
XRPUSDT,2020-01-08 16:00:00,0.00065731,,,
XRPUSDT,2020-01-09 00:00:00,0.0001,,,
XRPUSDT,2020-01-09 08:00:00,0.0001,,,
XRPUSDT,2020-01-09 16:00:00,0.0001,,,
XRPUSDT,2020-01-10 00:00:00,0.0001,,,
XRPUSDT,2020-01-10 08:00:00,0.0001,,,
XRPUSDT,2020-01-10 16:00:00,0.0001,,,
XRPUSDT,2020-01-11 00:00:00,0.0001,,,
XRPUSDT,2020-01-11 08:00:00,0.0001,,,
XRPUSDT,2020-01-11 16:00:00,0.0001,,,
XRPUSDT,2020-01-12 00:00:00,0.0001,,,
XRPUSDT,2020-01-12 08:00:00,0.0001,,,
XRPUSDT,2020-01-12 16:00:00,0.0001,,,
XRPUSDT,2020-01-13 00:00:00,0.00022677,,,
XRPUSDT,2020-01-13 08:00:00,0.0001,,,
XRPUSDT,2020-01-13 16:00:00,0.0001,,,
XRPUSDT,2020-01-14 00:00:00,0.00023193,,,
XRPUSDT,2020-01-14 08:00:00,0.0001,,,
XRPUSDT,2020-01-14 16:00:00,0.00058179,,,
XRPUSDT,2020-01-15 00:00:00,0.00275417,,,
XRPUSDT,2020-01-15 08:00:00,0.00181173,,,
XRPUSDT,2020-01-15 16:00:00,0.00180187,,,
XRPUSDT,2020-01-16 00:00:00,0.00109311,,,
XRPUSDT,2020-01-16 08:00:00,0.0001,,,
XRPUSDT,2020-01-16 16:00:00,0.0001,,,
XRPUSDT,2020-01-17 00:00:00,0.0001,,,
XRPUSDT,2020-01-17 08:00:00,0.0001,,,
XRPUSDT,2020-01-17 16:00:00,0.0001,,,
XRPUSDT,2020-01-18 00:00:00,0.0001,,,
XRPUSDT,2020-01-18 08:00:00,0.0001,,,
XRPUSDT,2020-01-18 16:00:00,0.00033018,,,
XRPUSDT,2020-01-19 00:00:00,0.00185072,,,
XRPUSDT,2020-01-19 08:00:00,0.00164121,,,
XRPUSDT,2020-01-19 16:00:00,0.00087585,,,
XRPUSDT,2020-01-20 00:00:00,0.00049196,,,
XRPUSDT,2020-01-20 08:00:00,0.0001,,,
XRPUSDT,2020-01-20 16:00:00,0.0001,,,
XRPUSDT,2020-01-21 00:00:00,0.0001,,,
XRPUSDT,2020-01-21 08:00:00,0.0001,,,
XRPUSDT,2020-01-21 16:00:00,0.00034253,,,
XRPUSDT,2020-01-22 00:00:00,0.00017282,,,
